industry_display,description,rollup
132,Wood container and pallet manufacturing,"Manufacturing - Lumber, Paper and related"
133,Manufactured home (mobile home) manufacturing,"Manufacturing - Lumber, Paper and related"
134,Prefabricated wood building manufacturing,"Manufacturing - Lumber, Paper and related"
135,All other miscellaneous wood product manufacturing,"Manufacturing - Lumber, Paper and related"
136,Pulp mills,"Manufacturing - Lumber, Paper and related"
137,Paper mills,"Manufacturing - Lumber, Paper and related"
138,Paperboard mills,"Manufacturing - Lumber, Paper and related"
139,Paperboard container manufacturing,"Manufacturing - Lumber, Paper and related"
140,Paper bag and coated and treated paper manufacturing,"Manufacturing - Lumber, Paper and related"
141,Stationery product manufacturing,"Manufacturing - Lumber, Paper and related"
142,Sanitary paper product manufacturing,"Manufacturing - Lumber, Paper and related"
143,All other converted paper product manufacturing,"Manufacturing - Lumber, Paper and related"
144,Printing,Printing
145,Support activities for printing,Printing
146,Petroleum refineries,Manufacturing - Petroleum and Related
147,Asphalt paving mixture and block manufacturing,Manufacturing - Petroleum and Related
148,Asphalt shingle and coating materials manufacturing,Manufacturing - Petroleum and Related
149,Petroleum lubricating oil and grease manufacturing,Manufacturing - Petroleum and Related
150,All other petroleum and coal products manufacturing,Manufacturing - Petroleum and Related
151,Petrochemical manufacturing,Manufacturing - Petroleum and Related
152,Industrial gas manufacturing,Manufacturing - Petroleum and Related
153,Synthetic dye and pigment manufacturing,Manufacturing - Chemical
154,Other basic inorganic chemical manufacturing,Manufacturing - Chemical
155,Other basic organic chemical manufacturing,Manufacturing - Chemical
156,Plastics material and resin manufacturing,Manufacturing - Chemical
157,Synthetic rubber manufacturing,Manufacturing - Chemical
158,Artificial and synthetic fibers and filaments manufacturing,Manufacturing - Chemical
159,Nitrogenous fertilizer manufacturing,Manufacturing - Chemical
160,Phosphatic fertilizer manufacturing,Manufacturing - Chemical
161,Fertilizer mixing,Manufacturing - Chemical
162,Pesticide and other agricultural chemical manufacturing,Manufacturing - Chemical
163,Medicinal and botanical manufacturing,Manufacturing - Pharmaceuticals
164,Pharmaceutical preparation manufacturing,Manufacturing - Pharmaceuticals
165,In-vitro diagnostic substance manufacturing,Manufacturing - Pharmaceuticals
166,Biological product (except diagnostic) manufacturing,Manufacturing - Pharmaceuticals
167,Paint and coating manufacturing,Manufacturing - Chemical
168,Adhesive manufacturing,Manufacturing - Chemical
169,Soap and other detergent manufacturing,Manufacturing - Chemical
170,Polish and other sanitation good manufacturing,Manufacturing - Chemical
171,Surface active agent manufacturing,Manufacturing - Chemical
172,Toilet preparation manufacturing,Manufacturing - Chemical
173,Printing ink manufacturing,Manufacturing - Chemical
174,Explosives manufacturing,Manufacturing - Chemical
175,Custom compounding of purchased resins,Manufacturing - Chemical
176,Photographic film and chemical manufacturing,Manufacturing - Chemical
177,Other miscellaneous chemical product manufacturing,Manufacturing - Chemical
178,Plastics packaging materials and unlaminated film and sheet manufacturing,Manufacturing - Plastics
179,Unlaminated plastics profile shape manufacturing,Manufacturing - Plastics
180,Plastics pipe and pipe fitting manufacturing,Manufacturing - Plastics
181,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",Manufacturing - Plastics
182,Polystyrene foam product manufacturing,Manufacturing - Plastics
183,Urethane and other foam product (except polystyrene) manufacturing,Manufacturing - Plastics
184,Plastics bottle manufacturing,Manufacturing - Plastics
185,Other plastics product manufacturing,Manufacturing - Plastics
186,Tire manufacturing,Manufacturing - Rubber
187,Rubber and plastics hoses and belting manufacturing,Manufacturing - Rubber
188,Other rubber product manufacturing,Manufacturing - Rubber
189,"Pottery, ceramics, and plumbing fixture manufacturing",Manufacturing - Glass & Ceramics
190,"Brick, tile, and other structural clay product manufacturing",Manufacturing - Glass & Ceramics
191,Flat glass manufacturing,Manufacturing - Glass & Ceramics
192,Other pressed and blown glass and glassware manufacturing,Manufacturing - Glass & Ceramics
193,Glass container manufacturing,Manufacturing - Glass & Ceramics
194,Glass product manufacturing made of purchased glass,Manufacturing - Glass & Ceramics
195,Cement manufacturing,"Manufacturing - Concrete, other stone products"
196,Ready-mix concrete manufacturing,"Manufacturing - Concrete, other stone products"
197,Concrete block and brick manufacturing,"Manufacturing - Concrete, other stone products"
198,Concrete pipe manufacturing,"Manufacturing - Concrete, other stone products"
199,Other concrete product manufacturing,"Manufacturing - Concrete, other stone products"
200,Lime manufacturing,"Manufacturing - Concrete, other stone products"
201,Gypsum product manufacturing,"Manufacturing - Concrete, other stone products"
202,Abrasive product manufacturing,"Manufacturing - Concrete, other stone products"
203,Cut stone and stone product manufacturing,"Manufacturing - Concrete, other stone products"
204,Ground or treated mineral and earth manufacturing,"Manufacturing - Concrete, other stone products"
205,Mineral wool manufacturing,"Manufacturing - Concrete, other stone products"
206,Miscellaneous nonmetallic mineral products manufacturing,"Manufacturing - Concrete, other stone products"
207,Iron and steel mills and ferroalloy manufacturing,Manufacturing - Metals
208,"Iron, steel pipe and tube manufacturing from purchased steel",Manufacturing - Metals
209,Rolled steel shape manufacturing,Manufacturing - Metals
210,Steel wire drawing,Manufacturing - Metals
211,Alumina refining and primary aluminum production,Manufacturing - Metals
212,Secondary smelting and alloying of aluminum,Manufacturing - Metals
213,"Aluminum sheet, plate, and foil manufacturing",Manufacturing - Metals
214,"Other aluminum rolling, drawing and extruding",Manufacturing - Metals
215,Nonferrous metal (exc aluminum) smelting and refining,Manufacturing - Metals
216,"Copper rolling, drawing, extruding and alloying",Manufacturing - Metals
217,"Nonferrous metal, except copper and aluminum, shaping",Manufacturing - Metals
218,Secondary processing of other nonferrous metals,Manufacturing - Metals
219,Ferrous metal foundries,Manufacturing - Metals
220,Nonferrous metal foundries,Manufacturing - Metals
221,Custom roll forming,Manufacturing - Metals
222,"Metal crown, closure, and other metal stamping (except automotive)",Manufacturing - Metals
223,Iron and steel forging,Manufacturing - Metals
224,Nonferrous forging,Manufacturing - Metals
225,"Cutlery, utensil, pot, and pan manufacturing",Manufacturing - Metals
226,Handtool manufacturing,Manufacturing - Metals
227,Prefabricated metal buildings and components manufacturing,Manufacturing - Metals
228,Fabricated structural metal manufacturing,Manufacturing - Metals
229,Plate work manufacturing,Manufacturing - Metals
230,Metal window and door manufacturing,Manufacturing - Metals
231,Sheet metal work manufacturing,Manufacturing - Metals
232,Ornamental and architectural metal work manufacturing,Manufacturing - Metals
233,Power boiler and heat exchanger manufacturing,Manufacturing - Metals
234,Metal tank (heavy gauge) manufacturing,Manufacturing - Metals
235,Metal cans manufacturing,Manufacturing - Metals
236,"Metal barrels, drums and pails manufacturing",Manufacturing - Metals
237,Hardware manufacturing,Manufacturing - Metals
238,Spring and wire product manufacturing,Manufacturing - Metals
239,Machine shops,Manufacturing - Metals
240,"Turned product and screw, nut, and bolt manufacturing",Manufacturing - Metals
241,Metal heat treating,Manufacturing - Metals
242,Metal coating and nonprecious engraving,Manufacturing - Metals
243,"Electroplating, anodizing, and coloring metal",Manufacturing - Metals
244,"Valve and fittings, other than plumbing, manufacturing",Manufacturing - Metals
245,Plumbing fixture fitting and trim manufacturing,Manufacturing - Metals
246,Ball and roller bearing manufacturing,Manufacturing - Metals
247,Small arms ammunition manufacturing,Manufacturing - Metals
248,"Ammunition, except for small arms, manufacturing",Manufacturing - Metals
249,"Small arms, ordnance, and accessories manufacturing",Manufacturing - Metals
250,Fabricated pipe and pipe fitting manufacturing,Manufacturing - Metals
251,Other fabricated metal manufacturing,Manufacturing - Metals
252,Farm machinery and equipment manufacturing,Manufacturing - Machinery
253,Lawn and garden equipment manufacturing,Manufacturing - Machinery
254,Construction machinery manufacturing,Manufacturing - Machinery
255,Mining machinery and equipment manufacturing,Manufacturing - Machinery
256,Oil and gas field machinery and equipment manufacturing,Manufacturing - Machinery
257,Semiconductor machinery manufacturing,Manufacturing - Machinery
258,Food product machinery manufacturing,Manufacturing - Machinery
259,"Sawmill, woodworking, and paper machinery",Manufacturing - Machinery
260,All other industrial machinery manufacturing,Manufacturing - Machinery
261,Commercial and service industry machinery manufacturing,Manufacturing - Machinery
262,Industrial and commercial fan and blower and air purification equipment manufacturing,Manufacturing - Machinery
263,Heating equipment (except warm air furnaces) manufacturing,Manufacturing - Machinery
264,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",Manufacturing - Machinery
265,Industrial mold manufacturing,Manufacturing - Machinery
266,"Special tool, die, jig, and fixture manufacturing",Manufacturing - Machinery
267,Cutting tool and machine tool accessory manufacturing,Manufacturing - Machinery
268,Machine tool manufacturing,Manufacturing - Machinery
269,Rolling mill and other metalworking machinery manufacturing,Manufacturing - Machinery
270,Turbine and turbine generator set units manufacturing,Manufacturing - Machinery
271,"Speed changer, industrial high-speed drive, and gear manufacturing",Manufacturing - Machinery
272,Mechanical power transmission equipment manufacturing,Manufacturing - Machinery
273,Other engine equipment manufacturing,Manufacturing - Machinery
274,"Measuring, dispensing, and other pumping equipment manufacturing",Manufacturing - Machinery
275,Air and gas compressor manufacturing,Manufacturing - Machinery
276,Elevator and moving stairway manufacturing,Manufacturing - Machinery
277,Conveyor and conveying equipment manufacturing,Manufacturing - Machinery
278,"Overhead cranes, hoists, and monorail systems manufacturing",Manufacturing - Machinery
279,"Industrial truck, trailer, and stacker manufacturing",Manufacturing - Machinery
280,Power-driven handtool manufacturing,Manufacturing - Machinery
281,Welding and soldering equipment manufacturing,Manufacturing - Machinery
282,Packaging machinery manufacturing,Manufacturing - Machinery
283,Industrial process furnace and oven manufacturing,Manufacturing - Machinery
284,Fluid power cylinder and actuator manufacturing,Manufacturing - Machinery
285,Fluid power pump and motor manufacturing,Manufacturing - Machinery
286,"Scales, balances, and miscellaneous general purpose machinery manufacturing",Manufacturing - Machinery
287,Electronic computer manufacturing,Manufacturing - Electronic
288,Computer storage device manufacturing,Manufacturing - Electronic
289,Computer terminals and other computer peripheral equipment manufacturing,Manufacturing - Electronic
290,Telephone apparatus manufacturing,Manufacturing - Electronic
291,Broadcast and wireless communications equipment manufacturing,Manufacturing - Electronic
292,Other communications equipment manufacturing,Manufacturing - Electronic
293,Audio and video equipment manufacturing,Manufacturing - Electronic
294,Printed circuit assembly (electronic assembly) manufacturing,Manufacturing - Electronic
295,Bare printed circuit board manufacturing,Manufacturing - Electronic
296,Semiconductor and related device manufacturing,Manufacturing - Electronic
297,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",Manufacturing - Electronic
298,Electronic connector manufacturing,Manufacturing - Electronic
299,Other electronic component manufacturing,Manufacturing - Electronic
300,Electromedical and electrotherapeutic apparatus manufacturing,Manufacturing - Electronic
301,"Search, detection, and navigation instruments manufacturing",Manufacturing - Electronic
302,Automatic environmental control manufacturing,Manufacturing - Electronic
303,Industrial process variable instruments manufacturing,Manufacturing - Electronic
304,Totalizing fluid meter and counting device manufacturing,Manufacturing - Electronic
305,Electricity and signal testing instruments manufacturing,Manufacturing - Electronic
306,Analytical laboratory instrument manufacturing,Manufacturing - Electronic
307,Irradiation apparatus manufacturing,Manufacturing - Electronic
308,"Watch, clock, and other measuring and controlling device manufacturing",Manufacturing - Electronic
309,Manufacturing and reproducing magnetic and optical media,Manufacturing - Electronic
310,Electric lamp bulb and part manufacturing,Manufacturing - Electronic
311,Lighting fixture manufacturing,Manufacturing - Electronic
312,Small electrical appliance manufacturing,Manufacturing - Electronic
313,Major household appliance manufacturing,Manufacturing - Electronic
314,"Power, distribution, and specialty transformer manufacturing",Manufacturing - Electronic
315,Motor and generator manufacturing,Manufacturing - Electronic
316,Switchgear and switchboard apparatus manufacturing,Manufacturing - Electronic
317,Relay and industrial control manufacturing,Manufacturing - Electronic
318,Battery manufacturing,Manufacturing - Electronic
319,Fiber optic cable manufacturing,Manufacturing - Electronic
320,Other communication and energy wire manufacturing,Manufacturing - Electronic
321,Wiring device manufacturing,Manufacturing - Electronic
322,Carbon and graphite product manufacturing,Manufacturing - Electronic
323,All other miscellaneous electrical equipment and component manufacturing,Manufacturing - Electronic
324,Automobile and light duty motor vehicle manufacturing,Manufacturing - Motor Vehicle
325,Heavy duty truck manufacturing,Manufacturing - Motor Vehicle
326,Motor vehicle body manufacturing,Manufacturing - Motor Vehicle
327,Truck trailer manufacturing,Manufacturing - Motor Vehicle
328,Motor home manufacturing,Manufacturing - Motor Vehicle
329,Travel trailer and camper manufacturing,Manufacturing - Motor Vehicle
330,Motor vehicle gasoline engine and engine parts manufacturing,Manufacturing - Motor Vehicle
331,Motor vehicle electrical and electronic equipment manufacturing,Manufacturing - Motor Vehicle
332,Motor vehicle transmission and power train parts manufacturing,Manufacturing - Motor Vehicle
333,Motor vehicle seating and interior trim manufacturing,Manufacturing - Motor Vehicle
334,Motor vehicle metal stamping,Manufacturing - Motor Vehicle
335,Other motor vehicle parts manufacturing,Manufacturing - Motor Vehicle
336,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",Manufacturing - Motor Vehicle
337,Aircraft manufacturing,Manufacturing - Aerospace
338,Aircraft engine and engine parts manufacturing,Manufacturing - Aerospace
339,Other aircraft parts and auxiliary equipment manufacturing,Manufacturing - Aerospace
340,Guided missile and space vehicle manufacturing,Manufacturing - Aerospace
